rank,planet_name,star_name,biosignature_score,habitability_class,earth_similarity_index,radius_earth,mass_earth,orbital_distance_au,equilibrium_temp_k,in_hz_conservative,in_hz_optimistic,source_dataset
90,TOI-2537 b,TOI-2537,20.537367404355823,Bajo,0.0268683702177911,11.2448,415.3646,0.3715,338.0,False,False,cumulative
91,TOI-2136 b,TOI-2136,17.578234804182916,Muy Bajo,0.37891174020914575,2.18824536,6.369430228,0.057,395.0,False,False,cumulative
92,HD 235088 b,HD 235088,17.439643191303777,Muy Bajo,0.37198215956518876,2.07340168,4.199625304,0.071,753.95,False,False,cumulative
93,HD 28109 d,HD 28109,16.393795172944394,Muy Bajo,0.31968975864721966,3.2473960959999997,5.680490676,0.411,506.5,False,False,cumulative
94,K2-285 d,K2-285,16.238412179311585,Muy Bajo,0.3119206089655791,2.478008736,6.499385004,0.1178,619.9,False,False,cumulative
95,HD 207496 b,HD 207496,16.225986387320663,Muy Bajo,0.31129931936603306,2.24819728,6.09945595,0.0629,743.0,False,False,cumulative
96,pi Men c,HD 39091,16.168068819818487,Muy Bajo,0.30840344099092426,2.058345968,4.519573632,0.06702,1147.0,False,False,cumulative
97,HD 136352 d,HD 136352,16.05545412434548,Muy Bajo,0.30277270621727403,2.559947264,8.819210596,0.425,431.0,False,False,cumulative
98,TOI-1470 b,TOI-1470,15.83992006079932,Muy Bajo,0.291996003039966,2.178253392,7.3193471400000005,0.0285,734.0,False,False,cumulative
99,HD 110113 b,HD 110113,15.730409301978973,Muy Bajo,0.2865204650989486,2.048354,4.549570774,0.035,1371.0,False,False,cumulative
100,HD 73583 c,HD 73583,15.687331286309789,Muy Bajo,0.2843665643154894,2.388085168,9.699132058,0.1242,498.0,False,False,cumulative
