planet_name,host_star,biosignature_score,habitability_score,detectability_score,biosignature_potential,stellar_activity,radius_earth,mass_earth,orbital_period,equilibrium_temp,stellar_temp,discovery_year,ml_prediction,ml_class,ml_confidence
TOI-700 e,TOI-700,70.0,20.0,30.0,20.0,0.0,0.953,,27.80978,,3459.0,2023,3,High Priority,0.9995858676991103
Kepler-186 b,Kepler-186,70.0,20.0,30.0,20.0,0.0,1.07,,3.8867907,,3788.0,2014,2,Medium Priority,0.999901046757927
Kepler-560 b,Kepler-560,70.0,35.0,15.0,20.0,0.0,1.57,,18.47764449,270.0,3387.0,2016,3,High Priority,0.9999515080423937
Kepler-560 b,Kepler-560,70.0,35.0,15.0,20.0,0.0,1.57,,18.47764449,270.0,3387.0,2016,3,High Priority,0.9999515080423937
Kepler-1542 d,Kepler-1542,70.0,20.0,25.0,20.0,5.0,1.019,,5.99273738,,5545.0,2016,3,High Priority,0.9997816242083186
K2-190 b,K2-190,70.0,20.0,30.0,20.0,0.0,0.91,,10.1016,,,2018,3,High Priority,0.9994962001921897
Kepler-1876 b,Kepler-1876,70.0,20.0,30.0,20.0,0.0,0.98036091,,6.99202013,,6057.0,2021,3,High Priority,0.9991999570808544
Kepler-55 c,Kepler-55,70.0,35.0,15.0,20.0,0.0,1.85,,42.1406089,349.0,4500.0,2012,3,High Priority,0.9998080690465896
K2-3 c,K2-3,70.0,20.0,30.0,20.0,0.0,1.18,,24.64671,,,2015,3,High Priority,0.999024229902158
Kepler-220 d,Kepler-220,70.0,20.0,25.0,20.0,5.0,0.97,,28.1224655,,4591.0,2014,3,High Priority,0.9980508118341646
Kepler-907 b,Kepler-907,70.0,20.0,25.0,20.0,5.0,1.2,,15.86621821,,6106.0,2016,2,Medium Priority,0.9998070328188091
HD 20782 b,HD 20782,70.0,25.0,20.0,20.0,5.0,,,597.065,,5798.0,2006,3,High Priority,0.9996874408827618
Kepler-231 c,Kepler-231,70.0,35.0,15.0,20.0,0.0,1.73,,19.2715468,343.0,3767.0,2014,3,High Priority,0.9999284734117102
TOI-1468 c,TOI-1468,70.0,20.0,30.0,20.0,0.0,2.01357599,,15.5324384892,308.47,3382.0,2022,3,High Priority,0.9998711582136287
TOI-4336 A b,TOI-4336 A,70.0,20.0,30.0,20.0,0.0,2.04924027,,16.33636652404,290.94,3365.0,2024,3,High Priority,0.9990541434904067
Kepler-186 e,Kepler-186,70.0,35.0,15.0,20.0,0.0,1.26,,22.40777444,322.0,3761.0,2014,3,High Priority,0.9999468009792155
Kepler-235 d,Kepler-235,70.0,35.0,15.0,20.0,0.0,1.99,,20.06037454,350.0,3887.0,2014,3,High Priority,0.9999450201818458
Kepler-186 e,Kepler-186,70.0,35.0,15.0,20.0,0.0,1.15,,22.40777833,319.0,3751.0,2014,3,High Priority,0.9999202529200852
Kepler-737 b,Kepler-737,70.0,35.0,15.0,20.0,0.0,1.83,,28.59914031,298.0,3755.0,2016,3,High Priority,0.9999443423686034
Kepler-54 d,Kepler-54,70.0,35.0,15.0,20.0,0.0,1.3,,20.99587872,328.0,3713.0,2014,3,High Priority,0.9999394981548632
K2-18 b,K2-18,70.0,20.0,30.0,20.0,0.0,2.37,8.92,32.939623,284.0,3457.0,2015,3,High Priority,0.9995203825354027
Kepler-52 d,Kepler-52,70.0,35.0,15.0,20.0,0.0,1.8,,36.4451982,300.0,3898.0,2014,3,High Priority,0.9998991255001652
Kepler-1542 d,Kepler-1542,70.0,20.0,25.0,20.0,5.0,0.87,,5.99273738,,5564.0,2016,3,High Priority,0.9982133361616294
K2-190 c,K2-190,70.0,20.0,30.0,20.0,0.0,1.09308317,,21.574023,,5631.0,2018,3,High Priority,0.9988553126565826
K2-18 b,K2-18,70.0,20.0,30.0,20.0,0.0,2.461,7.2,32.94112,281.0,3449.0,2015,3,High Priority,0.9996232895853325
GJ 9827 b,GJ 9827,70.0,15.0,30.0,20.0,5.0,1.577,4.91,1.2089819,,4340.0,2017,3,High Priority,0.9987342706566628
Kepler-381 d,Kepler-381,70.0,20.0,30.0,20.0,0.0,1.0667865,,8.256299973,,6197.0,2021,3,High Priority,0.9988472585027534
K2-116 b,K2-116,70.0,20.0,30.0,20.0,0.0,0.814,,4.6556782,,4264.0,2017,3,High Priority,0.999654273610198
Kepler-395 c,Kepler-395,70.0,35.0,15.0,20.0,0.0,1.336,,34.98956,341.0,3931.0,2014,3,High Priority,0.9998469851972552
Kepler-235 d,Kepler-235,70.0,35.0,15.0,20.0,0.0,1.99,,20.06037454,350.0,3887.0,2014,3,High Priority,0.9999450201818458
Kepler-953 c,Kepler-953,70.0,20.0,25.0,20.0,5.0,1.19,,9.10967112,,5416.0,2016,3,High Priority,0.9987092647942573
Kepler-37 d,Kepler-37,70.0,15.0,30.0,20.0,5.0,1.91,,39.79223792,,5348.0,2013,2,Medium Priority,0.9989974257349746
TOI-700 b,TOI-700,70.0,20.0,30.0,20.0,0.0,1.01,,9.97701,,3480.0,2020,3,High Priority,0.9997325227820538
Kepler-68 c,Kepler-68,70.0,20.0,30.0,20.0,0.0,0.927,,9.60503867,,,2013,3,High Priority,0.9992043953265669
Kepler-37 d,Kepler-37,70.0,15.0,30.0,25.0,0.0,2.0,62.5,39.792,,,2013,3,High Priority,0.9995006575458203
Kepler-225 c,Kepler-225,70.0,35.0,15.0,20.0,0.0,1.81,,18.79419535,330.0,3682.0,2014,3,High Priority,0.99993037799145
Kepler-235 e,Kepler-235,70.0,35.0,15.0,20.0,0.0,1.83,,46.1842039,273.0,3950.0,2014,3,High Priority,0.9999484036435639
Kepler-106 b,Kepler-106,70.0,20.0,25.0,20.0,5.0,0.86,,6.16491696,,5860.0,2014,3,High Priority,0.9989396645365078
HD 191939 g,HD 191939,70.0,20.0,25.0,20.0,5.0,,,284.0,278.0,5348.0,2022,2,Medium Priority,0.9964925469362403
Kepler-1455 b,Kepler-1455,70.0,35.0,15.0,20.0,0.0,1.75,,49.2768448,271.0,3899.0,2016,3,High Priority,0.9999006404217712
Kepler-68 c,Kepler-68,70.0,20.0,30.0,20.0,0.0,0.927,,9.604979,,5875.23,2013,3,High Priority,0.999397989008814
K2-18 b,K2-18,70.0,20.0,30.0,20.0,0.0,2.24,,32.94488,272.0,3503.0,2015,3,High Priority,0.9995937051603973
Kepler-236 c,Kepler-236,70.0,35.0,15.0,20.0,0.0,1.85,,23.9679932,325.0,3750.0,2014,3,High Priority,0.9999329978639772
Kepler-138 c,Kepler-138,70.0,25.0,25.0,20.0,0.0,1.33,,13.78109344,398.0,3841.0,2014,3,High Priority,0.9993798816323252
Kepler-577 b,Kepler-577,70.0,35.0,15.0,20.0,0.0,1.68,,25.69578251,315.0,3789.0,2016,3,High Priority,0.9999380446696223
TOI-700 c,TOI-700,70.0,20.0,30.0,20.0,0.0,2.58692117,,16.05110597845,327.77,3482.0,2020,3,High Priority,0.999692858373572
Kepler-1542 c,Kepler-1542,70.0,20.0,25.0,20.0,5.0,0.817,,2.89223021,,5545.0,2016,3,High Priority,0.9999362920901563
Kepler-20 f,Kepler-20,70.0,20.0,25.0,20.0,5.0,1.003,,19.57758478,,5495.0,2011,3,High Priority,0.9984836375409809
Kepler-1542 e,Kepler-1542,70.0,20.0,25.0,20.0,5.0,0.932,,5.10115756,,5545.0,2016,3,High Priority,0.9996989048869332
Kepler-1882 b,Kepler-1882,70.0,20.0,25.0,20.0,5.0,1.169,,13.7872576,,5704.0,2021,3,High Priority,0.9991102219285639
