kepoi_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_depth,koi_impact,koi_model_snr
K00841.01,CONFIRMED,15.33528675,3.897,5.0,610.0,32.67,3081.4,0.773,86.6
K00117.04,CONFIRMED,7.95825328,4.377,1.06,1074.0,314.15,50.0,0.706,14.7
K00841.02,CONFIRMED,31.33046135,5.176,6.5,481.0,12.61,5073.8,0.798,117.2
K00831.01,FALSE POSITIVE,3.9043425,3.831,12.28,1104.0,351.05,16228.4,0.709,323.4
K00832.01,FALSE POSITIVE,9.286358079,3.49949,17.61,796.0,95.03,44791.4,0.377,1671.1
K00833.01,FALSE POSITIVE,3.951405455,2.1862,31.44,1133.0,388.71,2453.9,1.276,117.2
K00834.01,CONFIRMED,23.65369415,8.2183,7.89,731.0,67.65,3341.8,0.008,266.3
K00834.02,CONFIRMED,13.23352214,6.7372,3.06,888.0,146.67,504.6,0.014,49.1
K00834.03,CONFIRMED,6.15560285,4.9843,2.32,1146.0,406.94,285.0,0.235,35.1
K00834.04,CONFIRMED,2.090811305,3.388,1.62,1642.0,1718.04,115.9,0.746,19.9
K00117.03,CONFIRMED,3.180027898,3.5797,1.53,1458.0,1066.86,120.3,0.196,50.4
K00834.05,CONFIRMED,50.4467417,7.159,2.67,568.0,24.64,370.3,0.379,19.4
K00835.01,CONFIRMED,11.76307164,2.9076,2.35,616.0,33.99,1037.3,0.048,48.9
K00835.02,CONFIRMED,56.2279271,3.57,2.37,366.0,4.22,862.7,0.7,20.9
K00836.01,FALSE POSITIVE,2.384052875,3.0918,17.06,1010.0,244.87,1268.1,1.178,50.5
K00837.01,CONFIRMED,7.953547,2.6312,2.25,696.0,55.37,875.4,0.3,38.4
K00837.02,CONFIRMED,4.14451656,2.3421,1.48,864.0,132.08,391.8,0.004,22.8
K00838.01,FALSE POSITIVE,4.859386384,2.2757,38.33,1114.0,364.23,6044.3,1.259,269.7
K00850.01,CONFIRMED,10.526294577,2.5211,8.24,713.0,61.16,9768.0,0.644,482.3
K00851.01,CONFIRMED,4.583520948,2.7055,5.39,1038.0,274.98,3812.1,0.045,99.5
K00852.01,CONFIRMED,3.76181843,3.5176,2.66,1121.0,372.62,510.6,0.926,35.9
K00853.01,CONFIRMED,8.20396958,2.9667,3.01,742.0,71.5,1024.4,0.823,54.4
K00853.02,CONFIRMED,14.49645186,4.016,3.01,613.0,33.48,647.5,0.97,25.7
K00841.03,CONFIRMED,6.54626149,2.75,2.19,810.0,101.78,655.9,0.644,24.8
K00842.01,CONFIRMED,12.71809866,3.0957,2.31,562.0,23.6,1149.4,0.427,52.7
K00842.02,CONFIRMED,36.06588163,4.3246,2.64,397.0,5.88,1563.8,0.26,51.7
K00843.01,CONFIRMED,4.190425659,2.8589,6.21,1234.0,547.9,2877.4,0.458,240.6
K00844.01,CONFIRMED,3.709870784,3.0694,4.35,1151.0,415.1,2020.3,0.023,116.1
K00845.01,CONFIRMED,16.3297527,6.271,3.75,727.0,66.08,1187.5,0.791,74.6
K00846.01,CONFIRMED,27.807566216,4.21587,13.84,554.0,22.24,25391.1,0.782,748.1
K00847.01,CONFIRMED,80.8723469,11.195,7.59,452.0,9.88,3604.6,0.527,160.9
K00848.01,FALSE POSITIVE,3.166465862,2.9381,26.82,954.0,196.31,4357.2,1.266,122.1
K00118.01,CONFIRMED,24.99324319,5.9409,2.29,712.0,60.88,269.6,0.686,62.0
K00849.01,CONFIRMED,10.35533116,3.1775,2.47,777.0,86.22,750.6,0.029,49.2
K00867.01,CONFIRMED,16.08518937,3.984,3.68,613.0,33.43,1442.4,0.867,62.6
K00868.01,CANDIDATE,235.9986399,8.2284,10.59,188.0,0.29,20714.6,0.778,271.8
K00869.01,CONFIRMED,7.49018305,2.7297,2.56,753.0,76.06,1123.6,0.02,53.0
K00869.02,CONFIRMED,36.2761238,4.7865,3.03,445.0,9.29,1572.6,0.035,45.5
K00869.03,CONFIRMED,17.46087931,2.2641,2.32,568.0,24.6,812.4,0.594,22.6
K00854.01,CONFIRMED,56.0560754,4.685,1.94,233.0,0.69,1626.0,0.018,27.4
K00855.01,CONFIRMED,41.408316686,5.0264,11.38,453.0,9.93,22838.9,0.377,907.8
K00856.01,CANDIDATE,39.74893077,7.3051,14.21,552.0,21.87,15178.9,0.881,561.1
K00857.01,CONFIRMED,5.715425977,2.5242,2.47,850.0,123.03,908.1,0.348,59.4
K00119.01,CONFIRMED,49.18394185,11.3364,8.2,669.0,47.4,1646.2,0.035,355.7
K00857.02,CONFIRMED,20.0261412,1.611,2.28,559.0,23.14,421.2,0.957,10.7
K00858.01,CANDIDATE,13.61014819,2.594,19.02,733.0,68.29,5732.9,1.081,184.1
K00859.01,FALSE POSITIVE,10.44331991,2.743,2.66,667.0,46.94,1159.8,0.23,51.7
K00861.01,CONFIRMED,2.237489571,1.8119,1.41,1160.0,427.17,315.8,0.128,30.7
K00862.01,FALSE POSITIVE,5.851520671,3.11058,14.62,901.0,155.89,33003.6,0.211,1630.4
K00863.01,CONFIRMED,3.167893418,2.1814,2.62,1221.0,526.23,781.2,0.026,64.8
K00864.01,CONFIRMED,4.311780262,2.7251,3.11,1038.0,274.84,1154.0,0.196,86.1
K00864.02,CONFIRMED,20.0504494,4.556,2.69,622.0,35.44,840.9,0.383,37.8
K00864.03,CONFIRMED,9.76734503,1.6585,2.67,791.0,92.46,569.1,0.9,21.1
K00865.01,CANDIDATE,119.0207044,8.1405,8.98,366.0,4.25,7430.5,0.076,223.5
K00119.02,CONFIRMED,190.3200468,15.284,7.78,426.0,7.8,1141.7,0.812,139.3
K00866.01,FALSE POSITIVE,2.861159894,1.8832,4.37,1355.0,797.1,1014.3,0.965,58.3
K00880.01,CONFIRMED,26.44439337,3.9783,3.91,562.0,23.54,1843.5,0.03,88.0
K00880.02,CONFIRMED,51.53997972,6.3994,5.51,450.0,9.67,3644.3,0.183,155.5
K00880.03,CONFIRMED,5.902245782,2.9003,2.43,926.0,173.74,702.3,0.209,59.3
K00880.04,CONFIRMED,2.382951591,1.8876,1.86,1253.0,583.01,391.6,0.479,41.4
K00881.01,CONFIRMED,21.02250608,4.1072,3.07,521.0,17.48,1772.5,0.036,62.4
K00869.04,CONFIRMED,3.219814777,2.0642,1.69,998.0,234.93,488.2,0.06,30.5
K00870.01,CONFIRMED,5.912273234,2.3254,1.73,585.0,27.72,961.4,0.17,62.8
K00870.02,CONFIRMED,8.98581901,2.8606,1.65,509.0,15.9,881.3,0.008,51.8
K00871.01,CANDIDATE,12.940668656,2.4845,22.94,723.0,64.64,42450.0,0.897,307.5
K00120.01,FALSE POSITIVE,20.5452375,2.517,2.41,742.0,71.57,218.5,0.95,18.5
K00872.01,CONFIRMED,33.60123371,4.4056,8.46,495.0,14.22,7425.9,0.67,247.9
K00872.02,CONFIRMED,6.76652928,2.9004,1.97,845.0,120.48,450.7,0.429,29.2
K00873.01,CONFIRMED,4.347288783,2.1024,2.36,1174.0,449.79,451.6,0.025,39.7
K00874.01,CONFIRMED,4.601811819,2.2607,2.35,896.0,152.91,755.9,0.567,60.8
K00874.02,CONFIRMED,11.18719905,3.252,1.55,667.0,46.65,353.6,0.387,21.9
K00875.01,CONFIRMED,4.220965778,3.0854,2.62,595.0,29.68,2260.0,0.705,157.8
K00876.01,FALSE POSITIVE,6.998099523,2.0488,588.66,853.0,125.22,20285.0,7.361,192.3
K00877.01,CONFIRMED,5.95489993,2.3892,2.33,635.0,38.52,1410.7,0.327,87.2
K00877.02,CONFIRMED,12.03987488,2.7363,2.18,502.0,15.06,1250.6,0.286,57.6
K00877.03,CONFIRMED,20.83762895,2.3734,1.42,418.0,7.24,439.0,0.706,14.9
K00121.01,FALSE POSITIVE,8.8111022,5.0683,63.66,1399.0,904.92,401.1,1.223,76.8
K00878.01,CONFIRMED,23.58917143,5.073,3.16,487.0,13.34,1200.7,0.926,53.3
K00123.01,CONFIRMED,6.481633073,3.784,2.54,1145.0,406.25,298.5,0.833,125.6
K00892.01,CONFIRMED,10.37168928,3.035,3.2,720.0,63.68,1254.9,0.537,64.5
K00892.02,CONFIRMED,3.96996298,1.1757,1.78,992.0,229.37,299.2,0.836,15.0
K00893.01,CONFIRMED,4.40841331,5.012,2.66,1139.0,398.0,549.4,0.899,45.1
K00894.01,FALSE POSITIVE,7.9426176,6.703,4.68,878.0,140.57,1590.7,0.942,60.4
K00881.02,CONFIRMED,226.8904775,7.558,4.53,236.0,0.73,3136.4,0.731,46.8
K00882.01,FALSE POSITIVE,1.956811408,2.1958,21.58,1109.0,357.16,24905.0,1.091,125.4
